time	V(v_out)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
6.088803104981054e-009	-3.698561e-006	3.825708e-005
1.217760620996211e-008	-9.605331e-006	7.651417e-005
1.826640931494316e-008	-1.772031e-005	1.147712e-004
2.435521241992422e-008	-2.804350e-005	1.530283e-004
3.044401552490527e-008	-4.057490e-005	1.912854e-004
3.653281862988633e-008	-5.531450e-005	2.295425e-004
4.262162173486737e-008	-7.226232e-005	2.677995e-004
7.985706718355945e-008	-1.789947e-004	5.017567e-004
4.071519655862444e-006	-1.273524e-002	2.561841e-002
8.063182244541329e-006	-2.526419e-002	5.067971e-002
1.205484483322021e-005	-3.776585e-002	7.568567e-002
1.604650742189910e-005	-5.024021e-002	1.006363e-001
2.003817001057798e-005	-6.268729e-002	1.255315e-001
2.402983259925687e-005	-7.510707e-002	1.503715e-001
2.802149518793574e-005	-8.749957e-002	1.751560e-001
3.806613804507861e-005	-1.186644e-001	2.374871e-001
4.811078090222148e-005	-1.490632e-001	2.982854e-001
5.815542375936435e-005	-1.786959e-001	3.575508e-001
6.820006661650722e-005	-2.075626e-001	4.152835e-001
7.824470947365010e-005	-2.356631e-001	4.714833e-001
8.828935233079295e-005	-2.629975e-001	5.261503e-001
9.833399518793580e-005	-2.895659e-001	5.792845e-001
1.145170309022215e-004	-3.302238e-001	6.605949e-001
1.307000666165073e-004	-3.666585e-001	7.334576e-001
1.468831023307930e-004	-3.988701e-001	7.978727e-001
1.630661380450788e-004	-4.268586e-001	8.538402e-001
1.792491737593645e-004	-4.506239e-001	9.013601e-001
1.954322094736502e-004	-4.701661e-001	9.404325e-001
2.116152451879359e-004	-4.854851e-001	9.710572e-001
2.336576559022216e-004	-4.967447e-001	9.935562e-001
2.557000666165074e-004	-4.989035e-001	9.978533e-001
2.777424773307931e-004	-4.919614e-001	9.839483e-001
2.997848880450789e-004	-4.759185e-001	9.518414e-001
3.218272987593646e-004	-4.507747e-001	9.015325e-001
3.438697094736503e-004	-4.165301e-001	8.330217e-001
3.659121201879360e-004	-3.731846e-001	7.463088e-001
3.779098880450789e-004	-3.466302e-001	6.931889e-001
3.899076559022217e-004	-3.185319e-001	6.369817e-001
4.019054237593647e-004	-2.888895e-001	5.776871e-001
4.139031916165075e-004	-2.577033e-001	5.153052e-001
4.259009594736504e-004	-2.249731e-001	4.498360e-001
4.378987273307932e-004	-1.906990e-001	3.812794e-001
4.498964951879361e-004	-1.548809e-001	3.096354e-001
4.563139059022218e-004	-1.355117e-001	2.708933e-001
4.627313166165076e-004	-1.160022e-001	2.318707e-001
4.691487273307933e-004	-9.635238e-002	1.925677e-001
4.755661380450790e-004	-7.656223e-002	1.529843e-001
4.819835487593647e-004	-5.663174e-002	1.131204e-001
4.884009594736504e-004	-3.656093e-002	7.297612e-002
4.948183701879361e-004	-1.634979e-002	3.255139e-002
4.973295309022218e-004	-8.458767e-003	1.676845e-002
4.998406916165075e-004	-5.705434e-004	9.911475e-004
5.023518523307932e-004	7.314879e-003	-1.478051e-002
5.048630130450791e-004	1.519750e-002	-3.054653e-002
5.073741737593648e-004	2.307732e-002	-4.630691e-002
5.098853344736505e-004	3.095434e-002	-6.206165e-002
5.123964951879362e-004	3.882855e-002	-7.781074e-002
5.204880130450791e-004	6.426909e-002	-1.286937e-001
5.285795309022219e-004	8.938378e-002	-1.789246e-001
5.366710487593648e-004	1.141726e-001	-2.285033e-001
5.447625666165076e-004	1.386356e-001	-2.774300e-001
5.528540844736505e-004	1.627728e-001	-3.257046e-001
5.609456023307934e-004	1.865841e-001	-3.733270e-001
5.690371201879362e-004	2.100696e-001	-4.202974e-001
5.824299773307933e-004	2.480310e-001	-4.962184e-001
5.958228344736505e-004	2.836557e-001	-5.674649e-001
6.092156916165076e-004	3.169438e-001	-6.340370e-001
6.226085487593649e-004	3.478952e-001	-6.959348e-001
6.360014059022220e-004	3.765099e-001	-7.531580e-001
6.493942630450792e-004	4.027878e-001	-8.057069e-001
6.627871201879363e-004	4.267291e-001	-8.535814e-001
6.909679237593649e-004	4.660055e-001	-9.321125e-001
7.191487273307935e-004	4.902112e-001	-9.805009e-001
7.473295309022221e-004	4.993461e-001	-9.987466e-001
7.755103344736507e-004	4.934103e-001	-9.868496e-001
8.036911380450793e-004	4.724038e-001	-9.448098e-001
8.318719416165079e-004	4.363265e-001	-8.726272e-001
8.600527451879365e-004	3.851785e-001	-7.703019e-001
8.723295309022222e-004	3.590124e-001	-7.179582e-001
8.846063166165079e-004	3.311550e-001	-6.622326e-001
8.968831023307937e-004	3.016065e-001	-6.031252e-001
